tiger_killer;Tiger killer;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
Mu_desc;This woman has embraced the life of a Mu. It was very unusual in this period for a noble lady to embrace this role.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis für daoische Religionen und ihre Jünger.;;Este personaje, aunque no es Confucia.;;;;;;;;;x;;;;;;;;;
title_najeong;Najeong;Najeong;Najeong;;Najeong;;;;;;;;;x
title_najeong_desc;The Najeong is a heavenly daughter, so pure that she can cleanse water. She blesses sacred wells ensuring pristine water.;;;;;;;;;;;;;x
yongdeungje_blessings;Yongdeunje blessings;blesse par Yongdeunje;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
yongdeungje_blessings_desc;Yongdeunje has been correctly conducted and favorably accepted with outpours of rain throughout the provinces. Fishermen and farmers look up at the rainbows feeling optimistic.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
yongdeungje_curses;Yongdeunje curses;.;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
yongdeungje_curses_desc;Yongdeunje has come and gone. There is a division in the provinces to who is culpable and some even point fingers at disrespectful figures in the capital who have offended Heaven.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
partaking_in_yongdeungje;Partaking in Yongdeungje;.;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
partaking_in_yongdeungje_desc;This character is attending the Jeolla and Jeju holiday of Yongdeungje.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
coa_plain_korean;Plain;Pur;Einfach;;Simple;;;;;;;;;x
title_seju;Seju;Seju;Seju;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
title_seju_desc;This character has given his royal seal to a trusted female, often a concubine, who helps him with correspondence.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
seju;Seju;Seju;Seju;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
seju_desc;This character has a Seju working for him or her. The Seju greatly helps the outflow of work, although it might be foolhardy to give her all the information.;Ce personnage a un seju que travaille a chez-lui. Elle est un bon travailleur, mais c'est toujours fou a donner tout les information sur un plat.;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
d_gaya;Gaya;;;;;;;;;;;;;x
title_hwarang;Hwarang;Hwarang;Hwarang;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
title_hwarang;This character is a Hwarang, a flower knight, taught martial arts amongst other skills in order to serve the state. They are as noble as they are beautiful.;Ce personnage a connu de tuer les tigres;Der Charakter, obwohl weder Konfuzianer, Amidist oder Taoist, hegt eine besondere Sympatie und Verständnis;;;;;;;;;x;;;;;;;;;
CONFEDERCY_OF;Confedercy of;Confedercie de;Stamm der;;Tribu de;;;;;;;;;x
bad_priest_ainu;Fake Idol;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_ainu_desc;The personality and habits of this shaman are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_shinto;Terrible Priest;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_shinto_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_mu;False Mu;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_mu_desc;The personality and habits of this Mu are very inappropriate for [GetHerHis] position. And what's worse, it is obvious [GetSheHe] is fabricating possession.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_melanesian_pagan;Whimsical Priest;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_melanesian_pagan_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_ryukyuan;Whimsical Priest;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_ryukyuan_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_amidist;Contrary Amidist;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_amidist_desc;The personality and habits of this monk are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view. [GetSheHe] has formed their own school and threatens to make a mockery of Buddhism.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_confucian;Incompetant Confucian;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_confucian_desc;The personality and habits of this teacher are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view. [GetSheHe] probably passed exams by cheating.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
bad_priest_taoist;Corrupt Taoist;Chasseur des tigres;Sympathie an daoischen Religionen;;Simpatía por las religiones Daoas;;;;;;;;;x;;;;;;;;;
bad_priest_taoist_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour quelqu'un de sa fonction. Pire encore, [GetIlElle] est incapable de commettre ses actes impies discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen..;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;;x;;;;;;;;;
