Needs work:
TODO - needs to be checked (some are proper, others missing or improper)

Double-check:
FP - fictional placeholder (replace if possible, but don't waste time on non-focus areas)
HTLP - historical top liege used as placeholder (can be replaced, but should perhaps not be replaced with a fictional placeholder)
HCV - historical character to verify (when the area is the focus)

Done:
CHP - correct historical placeholder (might verify further in the future, but some should definiely be replaced)
CHH - correct historical holder (only replace if necessary)

Dates:
CM - 769.1.1 - vanilla's "Early Middle Ages" bookmark
tOG - 867.1.1 - vanilla's "Viking Age" bookmark
IC	- 936.8.7 - vanilla's "The Iron Century" bookmark
Stamford - 1066.9.15 - vanilla's "Stamford Bridge" bookmark; any date between here and 1337.1.1 is supposed to be playable
Alexiad	- 1081.4.1 - vanilla's "The Alexiad" bookmark 
Bangchang - 1127.4.20 - founding of (Da) Chu
Shaoxing - 1142.10.1 (approx.) - Treaty of Shaoxing ratified
Genpei - 1180.6.15 - start of the Genpei War
CK3 - 1187.1.1 - vanilla's "The Third Crusade" bookmark
Kamakura - 1192.8.21 - formal proclamation of the Kamakura Shogunate
Latin - 1204.5.16 - vanilla's "The Latin Empire" bookmark
Genghis - 1206.1.1 (approx.) - Temujin proclaimed Genghis Khan
Mongols - 1220.2.1 - vanilla's "Age of the Mongols" bookmark; we probably care more about the previous one
Legacy - 1227.8.18 - death of Genghis
Hansa - 1241.5.1 - vanilla's "Rise of the Hansa" bookmark
Toluid - 1259.8.11 - death of Möngke Khan, approximate start of the Toluid Civil War
Yamen - 1279.3.19 - Battle of Yamen, end of the Song dynasty
HYW -	1337.1.1 - vanilla's "Late Middle Ages" bookmark; last possible start


TITLE					REGION			CM		tOG		IC		Stamford	Alexiad		Bangchang	Shaoxing	Genpei 	CK3		Kamakura	Latin	Genghis		Mongols		Legacy	Hansa	Toluid	Yamen	HYW
c_atakora				West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_ava					Burma			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_awa					Japan			CHH		CHH		CHH		CHP			CHP			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_awaji					Japan			HTLP	CHP		CHP		CHH			CHH			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_awuzaer				Manchuria		FP		FP		FP		HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bac_giang				Vietnam			CHP		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bac_kan				Vietnam			FP		FP		CHP		CHP			CHP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baekdu				Manchuria		FP		FP		FP		HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bagan					Burma			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bagasumbol			Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bagoe					West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bahal					Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baili					Manchuria		FP		FP		FP		HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baima					Tibet			FP		FP		FP		FP			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baise					China			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_balangan				Borneo			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bali					Java			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_balin					Manchuria		CHH		CHH		HCV		HCV			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bamban				Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bangka				Sumatra			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_banjar				Borneo			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_banteay_meanchey		Khmer Empire	HTLP	HTLP	HTLP	HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_banten				Java			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baoding				China			CHH		CHH		CHH		HTLP		CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_barkam				Tibet			FP		FP		FP		FP			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_barus					Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_baruunurt				Mongolia		HCV		HCV		HCV		HCV			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_basilan				Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bataan				Philippines		FP		CHP		CHH		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_batam					Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_batangas				Philippines		FP		CHP		CHH		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_battambang			Khmer Empire	HTLP	HTLP	HTLP	HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_batu					Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bayombong				Philippines		FP		CHP		CHH		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bayug					Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bayugan				Philippines		FP		FP		FP		CHP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bayuquan				China			CHH		HTLP	CHH		FP			FP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bazhong				China			CHH		CHH		CHH		HTLP		HTLP		CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_beafada				West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_belitung				Sumatra			HTLP	HTLP	HTLP	HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bengbu				China			CHH		CHH		CHH		CHH			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bengkalis				Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bengkulu				Sumatra			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bentung				Malaya			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_benxi					China			CHH		HTLP	CHH		FP			FP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_berau					Borneo			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bhamo					Burma			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bianjing				China			CHH		CHP		CHH		CHH			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bigude				Manchuria		FP		FP		CHH		CHH			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bijie					China			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bingo					Japan			HTLP	CHP		CHP		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_binh_dinh				Champa			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_binh_long				Khmer Empire	FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bintulu				Borneo			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_binzhou				China			CHH		CHH		CHH		HTLP		CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bisa					China			CHH		HTLP	CHH		FP			FP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bitchu				Japan			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bizen					Japan			CHH		CHH		CHH		CHH			CHH			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_blambangan			Java			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bokeo					Khmer Empire	CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bolikhamsai			Khmer Empire	FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bolo					Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bone					Sulawesi		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bonoman				West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bonshu				Japan			HTLP	CHP		CHP		CHP			CHP			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_borgu					West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_borongan				Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bucihan				Manchuria		FP		CHH		HCV		HCV			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bueng_kan				Khmer Empire	FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_buglas				Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bujang				Malaya			CHH		CHH		CHH		FP			FP			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bukidnon				Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bulungan				Borneo			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_bungo					Japan			CHH		CHH		CHH		CHH			CHP			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_buol					Sulawesi		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_busan					Korea			CHH		CHH		HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_butuan				Philippines		FP		FP		FP		CHP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_buyeo					Manchuria		FP		FP		FP		HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_buzen					Japan			CHH		CHH		CHH		CHH			CHP			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cangzhou				China			CHH		CHH		CHH		HTLP		CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cao_bang				Vietnam			FP		FP		CHP		CHP			CHP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cebu					Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chachici				Manchuria		FP		FP		HCV		HCV			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chaiya				Malaya			FP		FP		CHH		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chakangrao			Khmer Empire	CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_changan				China			CHH		CHH		HTLP	CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_changua				Taiwan			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_changzhi				China			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chantaburi			Khmer Empire	HTLP	HTLP	HTLP	HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chaoyang				China			CHH		CHH		CHP		FP			FP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chengbu				China			CHH		CHP		HTLP	CHP			CHH			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chengde				China			CHH		CHH		CHH		FP			FP			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chengdu				China			CHH		CHH		CHH		HTLP		HTLP		CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chenzhou				China			CHH		CHP		HTLP	CHP			CHH			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cheolli				Manchuria		FP		FP		CHH		CHH			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cheongju				Korea			HTLP	HTLP	HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chiang_mai			Khmer Empire	CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chiang_rai			Khmer Empire	CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chibidao				China			CHH		CHH		CHP		CHP			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chikugo				Japan			CHH		CHH		CHH		CHH			CHP			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chikuzen				Japan			CHH		CHH		CHH		CHH			CHP			CHP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chishui				China			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chonburi				Khmer Empire	HTLP	HTLP	HTLP	HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chongqing				China			CHH		CHH		CHH		HTLP		HTLP		CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chongzhou				China			CHH		CHH		CHH		HTLP		HTLP		CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chongzuo				China			CHP		CHH		CHP		CHP			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chunan				China			CHH		CHH		CHH		HTLP		HTLP		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chungju				Korea			HTLP	HTLP	HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chunju				Korea			HTLP	HTLP	HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chuzan				Ryukyu			FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_chuzhou				China			CHH		CHH		CHH		CHH			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cirebon				Java			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_congjiang				China			CHH		CHP		CHH		CHP			CHH			TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_cupka					Yezo			FP		FP		FP		FP			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dadu					China			CHH		CHH		CHH		FP			FP			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_daegu					Korea			HTLP	HTLP	HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_daejeon				Korea			HTLP	HTLP	HTLP	HTLP		TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_daet					Philippines		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dagbon				West Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dagon					Burma			FP		CHH		CHH		CHH			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dai_la				Vietnam			CHP		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dali					Dali			CHH		CHH		CHH		CHH			CHH			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_darkhan				Mongolia		CHH		CHH		CHH		CHH			TODO		TODO		TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_datong				China			CHH		CHH		CHH		FP			FP			CHH			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dawaro				East Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_dawei					Burma			CHH		CHH		CHH		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
c_degehabur				East Africa		FP		FP		FP		FP			FP			FP			TODO		TODO	TODO	TODO		TODO	TODO		TODO		TODO	TODO	TODO	TODO	TODO
