# Eastern
GOD_KUKUNOCHI;Kukunochi;;;;;;;;;;;;;x
GOD_KUKURIHIME;Kukurihime;;;;;;;;;;;;;x
GOD_KUNI_NO_MIHASHIRA;Kuni no Mihashira;;;;;;;;;;;;;x
GOD_KUNI_NO_TOKOTACHI;Kuni-no-Tokotachi;;;;;;;;;;;;;x
GOD_KURAOKAMI;Kuraokami;;;;;;;;;;;;;x
GOD_KUSHINADAHIME;Kushinadahime;;;;;;;;;;;;;x
GOD_KUZURYU;Kuzuryu;;;;;;;;;;;;;x
GOD_KUZURYUSHIN;Kuzuryushin;;;;;;;;;;;;;x
GOD_LEIZU;Leizu;;;;;;;;;;;;;x
GOD_LEI_GONG;Lei Gong;Lei Gong;Lei Gong;;Lei Gong;;;;;;;;;x
GOD_LI;Reason;;;;;;;;;;;;;x
GOD_LINGBAO_TIANZUN;Lingbao Tianzun;;;;;;;;;;;;;x
GOD_LI_JING;Tower-Wielding Heavenly King Li;;;;;;;;;;;;;x
GOD_LI_MI;Li Mi;;;;;;;;;;;;;x
GOD_LONGMU;Longmu;Longmu;Longmu;;Longmu;;;;;;;;;x
GOD_LONGWANG;Longwang;Longwang;Longwang;;Longwang;;;;;;;;;x
GOD_MADAM_BAIJIE;Baijie Furen;;;;;;;;;;;;;x
GOD_MAMA_COCHA;Mama Cocha;;;;;;;;;;;;;x
GOD_MAMA_KILLA;Mama Killa;;;;;;;;;;;;;x
GOD_MAMA_PACHA;Mama Pacha;;;;;;;;;;;;;x
GOD_MICHIKAESHI;Michikaeshi;;;;;;;;;;;;;x
GOD_MITSUHANOME;Mitsuhanome;;;;;;;;;;;;;x
GOD_MIZARU;Mizaru;;;;;;;;;;;;;x
GOD_MOLOXGYAP;Moloxgyap;;;;;;;;;;;;;x
GOD_MOREYA;Moreya;;;;;;;;;;;;;x
GOD_MOSIRKARA_KAMUY;Mosirkara Kamuy;;;;;;;;;;;;;x
GOD_MUNSIN;Munsin;;;;;;;;;;;;;x
GOD_NAKATSUTSU_NO_O_NO_MIKOTO;Nakatsutsu-no-O-no-Mikoto;;;;;;;;;;;;;x
GOD_NAKISAWAME;Nakisawame;;;;;;;;;;;;;x
GOD_NESAKU;Nesaku;;;;;;;;;;;;;x
GOD_NGWEG;Ngweg;;;;;;;;;;;;;x
GOD_NHIEN;Nhien Than;Nhien Than;Nhien Than;;Nhien Than;;;;;;;;;x
GOD_NIAM_NKAUJ_KAB_YEEB;Niam Nkauj Kab Yeeb;;;;;;;;;;;;;x
GOD_NINGI_NO_MIKOTO;Ningi-no-Mikoto;;;;;;;;;;;;;x
GOD_NKAUJ_HNUB;Nkauj Hnub;;;;;;;;;;;;;x
GOD_NONGPOK_NINTHOU;Nongpok Ninthou;Nongpok Ninthou;Nongpok Ninthou;;Nongpok Ninthou;;;;;;;;;x
GOD_NORTH_STAR_DADI;The Ziwei Emperor;;;;;;;;;;;;;x
GOD_NRAUG_HLIS;Nraug Hlis;;;;;;;;;;;;;x
GOD_NTXWG_NYUG;Ntxwg Nyug;;;;;;;;;;;;;x
GOD_NULGUPJISIN;Nulgupjisin;;;;;;;;;;;;;x
GOD_NUSA_KOR_KAMUY;Nusa-kor-kamuy;;;;;;;;;;;;;x
GOD_NVWA;Nüwa;;;;;;;;;;;;;x
GOD_NYUJ_VAJ_TUAM_TEEM;Nyuj Vaj Tuam Teem;;;;;;;;;;;;;x
GOD_OGETSU_HIME;Ogetsu-hime;;;;;;;;;;;;;x
GOD_OHIRUME_NO_MUCHI_NO_KAMI;Ohirume-no-Muchi-no-Kami;;;;;;;;;;;;;x
GOD_OHOYAMA_TSUMI;Ohoyama-tsumi;;;;;;;;;;;;;x
GOD_OKAMI;Okami;;;;;;;;;;;;;x
GOD_OKUNINUSHI;Okuninushi;;;;;;;;;;;;;x
GOD_OMODARU;Omodaru;;;;;;;;;;;;;x
GOD_OMOIKANE;Omoikane;;;;;;;;;;;;;x
GOD_OMONONUSHI;Omononushi;;;;;;;;;;;;;x
GOD_ONG_TA;Ong Ta;Ong Ta;Ong Ta;;Ong Ta;;;;;;;;;x
GOD_OTONOBE;Otonobe;;;;;;;;;;;;;x
GOD_OTONOJI;Otonoji;;;;;;;;;;;;;x
GOD_OTOSHI;Otoshi;;;;;;;;;;;;;x
GOD_OYAMA_TSUMI;Oyama-tsumi;;;;;;;;;;;;;x
GOD_PAKHANGBA;Pakhangba;Pakhangba;Pakhangba;;Pakhangba;;;;;;;;;x
GOD_PANGU;Pangu;Pangu;Pangu;;Pangu;;;;;;;;;x
GOD_REPUN_KAMUY;Repun Kamuy;;;;;;;;;;;;;x
GOD_RYUJIN;Ryujin;;;;;;;;;;;;;x
GOD_SAKATOKE;Sakatoke;;;;;;;;;;;;;x
GOD_SAKUYA_HIME;Sakuya-hime;;;;;;;;;;;;;x
GOD_SAMSIN_HALMONI;Samsin Halmoni;;;;;;;;;;;;;x
GOD_SARUTAHIKO_OKAMI;Sarutahiko Okami;;;;;;;;;;;;;x
GOD_SEONGMO;Seongmo;Seongmo;Seongmo;;Seongmo;;;;;;;;;x
GOD_SHANGDI;Shangdi;Shangdi;Shangdi;;Shangdi;;;;;;;;;x
GOD_SHAOHAO;Shaohao Baidi;;;;;;;;;;;;;x
GOD_SHENNONG;Shennong Yandi;;;;;;;;;;;;;x
GOD_SHINATOBE;Shinatobe;;;;;;;;;;;;;x
GOD_SHINATSUHIKO;Shinatsuhiko;;;;;;;;;;;;;x
GOD_SHIRAMBA_KAMUY;Shiramba Kamuy;;;;;;;;;;;;;x
GOD_SHOMEN_KONGO;Shomen Kongo;;;;;;;;;;;;;x
GOD_SHUN;King Shun;;;;;;;;;;;;;x
GOD_SHUOTNYIE_VOPLIE;Shuotnyie Voplie;;;;;;;;;;;;;x
GOD_SOKOTSUTSU_NO_O_NO_MIKOTO;Sokotsutsu-no-O-no-Mikoto;;;;;;;;;;;;;x
GOD_SOSAMSIN;Sosamsin;;;;;;;;;;;;;x
GOD_SOUTH_POLE_OLD_MAN;Nanji Xianweng;;;;;;;;;;;;;x
GOD_SUHIJINI;Suhijini;;;;;;;;;;;;;x
GOD_SUIJIN;Suijin;;;;;;;;;;;;;x
GOD_SUKUNABIKONA;Sukunabikona;;;;;;;;;;;;;x
GOD_SUMIYOSHI_SANJIN;Sumiyoshi sanjin;;;;;;;;;;;;;x
GOD_SUSANOO_NO_MIKOTO;Susanoo-no-Mikoto;;;;;;;;;;;;;x
GOD_TAIDI;Taidi;Taidi;Taidi;;Taidi;;;;;;;;;x
GOD_TAIHAO;Taihao Qingdi;;;;;;;;;;;;;x
GOD_TAIYI_TIANZUN;Taiyi Tianzun;;;;;;;;;;;;;x
GOD_TAJIMAMORI;Tajimamori;;;;;;;;;;;;;x
GOD_TAKAMIMUSUBI;Takamimusubi;;;;;;;;;;;;;x
GOD_TAKEMIKAZUCHI;Takemikazuchi;;;;;;;;;;;;;x
GOD_TAKEMINAKATA;Takeminakata;;;;;;;;;;;;;x
GOD_TAKITSUHIKO;Takitsuhiko;;;;;;;;;;;;;x
GOD_TAMANOOYA_NO_MIKOTO;Tamanooya-no-Mikoto;;;;;;;;;;;;;x
GOD_TAMAYORI_HIME;Tamayori;;;;;;;;;;;;;x
GOD_TAMONTEN;Tamonten;;;;;;;;;;;;;x
GOD_TATSUTA_HIKO;Tatsuta-hiko;;;;;;;;;;;;;x
GOD_TATSUTA_HIME;Tatsuta-hime;;;;;;;;;;;;;x
GOD_TA_NO_KAMI;Ta-no-Kami;;;;;;;;;;;;;x
GOD_TEOJUSIN;Teojusin;;;;;;;;;;;;;x
GOD_THE_GONGEN;The Gongen;;;;;;;;;;;;;x
GOD_THE_SUPREME;The Supreme;;;;;;;;;;;;;x
GOD_THE_TENGU;The Tengu;;;;;;;;;;;;;x
GOD_TOKAPCUP_KAMUY;Tokapcup-kamuy;;;;;;;;;;;;;x
GOD_TOSHIGAMI;Toshigami;;;;;;;;;;;;;x
GOD_TOYOKUMONO;Toyokumono;;;;;;;;;;;;;x
GOD_TOYOTAMA_HIME;Toyotama-hime;;;;;;;;;;;;;x
GOD_TOYOUKEBIME;Toyoukebime;;;;;;;;;;;;;x
GOD_TOYOUKE_OMIKAMI;Toyouke-Omikami;;;;;;;;;;;;;x
GOD_TSUKUYOMI_NO_MIKOTO;Tsukuyomi-no-Mikoto;;;;;;;;;;;;;x
GOD_TSUNUGUSHI;Tsunugushi;;;;;;;;;;;;;x
GOD_TUDIGONG;Tudi Gong;;;;;;;;;;;;;x
GOD_UGAJIN;Ugajin;;;;;;;;;;;;;x
GOD_UGAYAFUKIAEZU;Ugayafukiaezu;;;;;;;;;;;;;x
GOD_UHIJINI;Uhijini;;;;;;;;;;;;;x
GOD_UKANOMITAMA;Ukanomitama;;;;;;;;;;;;;x
GOD_UKEMOCHI;Ukemochi;;;;;;;;;;;;;x
GOD_UMASHIASHIKABIHIKOJI;Umashi'ashikabihikoji;;;;;;;;;;;;;x
GOD_UMISACHI_HIKO;Umisachi-hiko;;;;;;;;;;;;;x
GOD_UNGNYEO;Ungnyeo;;;;;;;;;;;;;x
GOD_UWATSUTSU_NO_O_NO_MIKOTO;Uwatsutsu-no-O-no-Mikoto;;;;;;;;;;;;;x
GOD_VIRACOCHA;Viracocha;;;;;;;;;;;;;x
GOD_WAKAHIRU_ME;Wakahiru-me;;;;;;;;;;;;;x
GOD_WAKA_USH_KAMUY;Waka-ush Kamuy;;;;;;;;;;;;;x
